condition,label,seed,seed_idx,iteration,best_fitness,best_test_accuracy,child_train_accuracy,child_test_accuracy,archive_size,meta_focus_metric,meta_weight_step,meta_threshold_step,meta_exploration_scale,mutation_source,mode
hyperagent,HyperAgent (full system),7,0,0,0.65,0.8,0.65,0.8,1,security,0.12,0.07,0.18,seed,hyperagent
hyperagent,HyperAgent (full system),7,0,1,0.8,0.9,0.8,0.9,2,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,2,0.8,0.9,0.8,0.9,3,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,3,0.8,0.9,0.65,0.8,4,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,4,0.8,0.9,0.8,0.9,5,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,5,0.8,0.9,0.65,0.8,6,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,6,0.8,0.9,0.65,0.8,7,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,7,0.8,0.9,0.8,0.9,8,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,8,0.8,0.9,0.65,0.8,9,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,9,0.8,0.9,0.8,0.9,10,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,10,0.8,0.9,0.65,0.8,11,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,11,0.8,0.9,0.8,0.9,12,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,12,0.8,0.9,0.65,0.8,13,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,13,0.85,0.9,0.85,0.9,14,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,14,0.85,0.9,0.65,0.8,15,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,15,0.85,0.9,0.65,0.8,16,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,16,0.85,0.9,0.85,0.9,17,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,17,0.85,0.9,0.85,0.9,18,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,18,0.85,0.9,0.75,0.9,19,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,19,0.85,0.9,0.65,0.8,20,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,20,0.85,0.9,0.85,0.9,21,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,21,0.85,0.9,0.8,0.9,22,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,22,0.85,0.9,0.65,0.8,23,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,23,0.85,0.9,0.85,0.9,24,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,24,0.85,0.9,0.65,0.8,25,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,25,0.85,0.9,0.85,0.9,26,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),7,0,26,0.85,0.9,0.85,0.9,27,security,0.105,0.085,0.19,heuristic,hyperagent
